DiseaseId,DiseaseName,DiseaseCause,DiseaseSolution,DiseaseImage
P1,Scabies,Penularan karena terkena kucing lain;Tungau yang bertebaran,Pisahkan dengan kucing lain;Mandikan kucingmu;Sunti Scabies,https://i0.wp.com/meongku.com/wp-content/uploads/2015/01/scabies-pada-kucing.jpg
P2,Gastritis,Makan Berlebihan;Kucing makan sampah yang beracun;Kucing memakan makanan yang terfermentasi,Melakukan pergantian pakan secara perlahan dengan mencampurkan pakan lama dan pakan baru dengan proporsi tertentu,https://www.wikihow.com/images_en/thumb/c/c9/Reduce-Fever-in-Cats-Step-1-Version-4.jpg/v4-760px-Reduce-Fever-in-Cats-Step-1-Version-4.jpg
P3,Helminthiasis,Kucing memakan makanan kotor;Kutu yang berada pada kucing membaca telur cacing,Menjaga kebersihan kucing;Memberikan obat cacing pada kucing;	Menjaga kulit dan bulu kucing dari kutu,https://3.bp.blogspot.com/-V7A0NxNKUvE/XFVBu2327CI/AAAAAAAAT2c/0b1o_NbUvJko7i5eUWmm9kjtCYYpOiIuQCLcBGAs/s400/cacingan.JPG
P4,Rhintis,Ditularkan dari kucing ke kucing yang lain melalui kontak langsung dengan cairan terinfeksi yang keluar dari mata hidung mulut ataupun dari makanan;Disebabkan oleh adanya infeksi sekunder dari bakteri yang menyebabkan adanya discharge mukopurulent yang keluar dari sinus â€“ sinus hidung,Pemberian antibiotic untuk mencegah adanya infeksi sekunder bakteri;melakukan vaksinasi lengkap pada kucing,https://4.bp.blogspot.com/-xd0e9_RbMUg/V0u6PaHZJAI/AAAAAAAAAjM/yIUze9oWMaI_A1-eFTsKu1n5r8YH0AQQACLcB/s1600/04.jpg
P5,Dermatophytosis,Iklim yang lembab dan hangat;Buruk sanitasi kandang per grup, kucing liar yang tidak terkontrol karena dibebaskan keluar rumah;Jangan biarkan kucing bermain diluar rumah;Rajin membersihkan kandang kucing agar tidak lembab;Mencukur bulu kucing jika sudah terlalu parah,https://kucinggaul.com/wp-content/uploads/2014/10/dermatophytosis-620x330.jpg
P6,Dermatitis,Alergi terhadap gigitan kutu;Alergi terhdap makanan ataupun minuman,Jika alergi dengan kutu sebaiknya mandika serta beri obat kutu;Jika alergi terhadap makanan baiknya ganti makanan secara perlahan;Memberikan obat cair anti Jamur,https://blogpictures.99.co/photolibrary_rf_photo_of_cat_scratching.jpg
P7,Enteritis,Memakan makanan yang berlebihan berupa biji-bijian yang dapat menghasilkan sejumlah besar asam laktat yang dapat memicu enteritis; virus yang dapat memicu ialah virus rinderpest dan bovine viral diarrhea, memberikan antibiotik spektrum luas serta vitamin atau multivitamin untuk memperbaiki kondisi tubuh serta pemberian infus atau cairan sebagai pengganti cairan tubuh akibat dehidrasi,http://dokterhewan.co.id/po-content/uploads/foto_enteritis.png
P8,Otitis,Masuknya air kedalam telinga;Kebersihan telinga yang buruk atau kotor,rutin mengecek kebersihan telinga juga sering membersihkan telinga kucing,http://kandpclinic.com/wp-content/uploads/2018/09/Otitis1-300x261.jpg
P9,Sehat,-,-,https://3.bp.blogspot.com/-I91bXxMjVdk/XHhJ3eBHoDI/AAAAAAAADwo/fDfk3z8bS_YJZEvrRGvf65BWG8juFF6GwCLcBGAs/s1600/kucing%2Banggora.jpg
